"","ID","Traffic Volume Count Location  Address","Street","Date of Count","Total Passing Vehicle Volume","Vehicle Volume By Each Direction of Traffic","Location","geometry"
"316",855,"7368 West","Belmont Ave","11/14/2006",24100,"East Bound: 12800 / West Bound: 11300","(41.937984, -87.811297)",c(-87.811297, 41.937984)
"317",995,"6629 North","Sheridan Rd","08/24/2006",41200,"North Bound: 21100 / South Bound: 20100","(42.00351, -87.660816)",c(-87.660816, 42.00351)
"318",103,"6154 South","Ashland Ave","03/14/2006",23500,"North Bound: 11800 / South Bound: 11700","(41.781444, -87.664267)",c(-87.664267, 41.781444)
"319",225,"1359 South","Loomis St","03/22/2006",4200,"North Bound: 2300 / South Bound: 1900","(41.863965, -87.661484)",c(-87.661484, 41.863965)
"320",1296,"2014 East","87th St","09/06/2006",15300,"East Bound: 7100 / West Bound: 8200","(41.737064, -87.575072)",c(-87.575072, 41.737064)
"321",1242,"1450 West","Pershing Rd","10/11/2006",23300,"East Bound: 11200 / West Bound: 12100","(41.823185, -87.662505)",c(-87.662505, 41.823185)
"322",820,"4418 West","26th St","11/16/2006",14800,"East Bound: 7300 / West Bound: 7500","(41.844102, -87.735004)",c(-87.735004, 41.844102)
"323",872,"6041 West","Diversey Ave","08/10/2006",21600,"East Bound: 11100 / West Bound: 10500","(41.931117, -87.777627)",c(-87.777627, 41.931117)
"324",413,"5700 West","Washington St","10/19/2006",10800,"East Bound: 4600 / West Bound: 6200","(41.882191, -87.768235)",c(-87.768235, 41.882191)
"325",244,"223 West","18th Street","03/30/2006",8500,"East Bound: 4300 / West Bound: 4200","(41.85774, -87.632821)",c(-87.632821, 41.85774)
"326",398,"1600 West","Ogden Ave","10/12/2006",19900,"North Bound: 9500 / South Bound: 10400","(41.880815, -87.666819)",c(-87.666819, 41.880815)
"327",574,"206 South","Cicero Ave","10/23/2006",33700,"North Bound: 16800 / South Bound: 16900","(41.878378, -87.745201)",c(-87.745201, 41.878378)
"328",120,"7328 South","Halsted St","03/21/2006",16700,"North Bound: 8800 / South Bound: 7900","(41.760683, -87.644298)",c(-87.644298, 41.760683)
"329",1152,"5410 South","State St","10/11/2006",20500,"North Bound: 11900 / South Bound: 8600","(41.796139, -87.62574)",c(-87.62574, 41.796139)
"330",769,"2318 North","Sacramento Ave","10/09/2006",18400,"North Bound: 9800 / South Bound: 8600","(41.923889, -87.70229)",c(-87.70229, 41.923889)
"331",1127,"30 South","Michigan Ave","11/07/2006",46500,"North Bound: 25400 / South Bound: 21100","(41.881365, -87.624349)",c(-87.624349, 41.881365)
"332",860,"5601 North","Central Ave","08/22/2006",18800,"North Bound: 9700 / South Bound: 9100","(41.982967, -87.768342)",c(-87.768342, 41.982967)
"333",1140,"1445 North","Pulaski Rd","10/04/2006",19600,"North Bound: 10000 / South Bound: 9600","(41.907466, -87.726445)",c(-87.726445, 41.907466)
"334",1255,"1803 East","71st St","10/11/2006",9900,"East Bound: 4700 / West Bound: 5200","(41.766026, -87.58112)",c(-87.58112, 41.766026)
"335",1375,"352 West","101st St","10/04/2006",6800,"East Bound: 4100 / West Bound: 2700","(41.710698, -87.632871)",c(-87.632871, 41.710698)
"336",366,"8620 South","Summit Ave","05/09/2006",6200,"North Bound: 3500 / South Bound: 2700","(41.737236, -87.644725)",c(-87.644725, 41.737236)
"337",980,"1140 West","Irving Park Rd","08/31/2006",26200,"East Bound: 14100 / West Bound: 12100","(41.95443, -87.658524)",c(-87.658524, 41.95443)
"338",1028,"1533 North","Kostner Ave","09/06/2006",10600,"North Bound: 5400 / South Bound: 5200","(41.908631, -87.736272)",c(-87.736272, 41.908631)
"339",1322,"7324 South","Vincennes Ave","10/04/2006",24100,"North Bound: 11100 / South Bound: 13000","(41.761077, -87.629988)",c(-87.629988, 41.761077)
"340",962,"1111 West","Belmont Ave","10/16/2006",20900,"East Bound: 10400 / West Bound: 10500","(41.939866, -87.657012)",c(-87.657012, 41.939866)
"341",805,"20 West","Division St","09/21/2006",18700,"East Bound: 9200 / West Bound: 9500","(41.90393, -87.629506)",c(-87.629506, 41.90393)
"342",1179,"3242 West","Ogden Ave","11/02/2006",26200,"East Bound: 12700 / West Bound: 13500","(41.857111, -87.707844)",c(-87.707844, 41.857111)
"343",888,"7317 North","Harlem Ave","08/15/2006",26100,"North Bound: 13100 / South Bound: 13000","(42.013794, -87.806611)",c(-87.806611, 42.013794)
"344",1099,"573 North","Halsted St","09/18/2006",19000,"North Bound: 9000 / South Bound: 10000","(41.892362, -87.647604)",c(-87.647604, 41.892362)
"345",840,"40 West","115th St","08/29/2006",11700,"East Bound: 5700 / West Bound: 6000","(41.6853, -87.624481)",c(-87.624481, 41.6853)
"346",1122,"1631 South","Michigan Ave","10/17/2006",22500,"North Bound: 12500 / South Bound: 10000","(41.859365, -87.623968)",c(-87.623968, 41.859365)
"347",1023,"891 South","Damen Ave","08/16/2006",31400,"North Bound: 15300 / South Bound: 16100","(41.8702, -87.676347)",c(-87.676347, 41.8702)
"348",1331,"299 North","Clark St","11/08/2006",18700,"South Bound: 18700/ Oneway South Bound","(41.886935, -87.631008)",c(-87.631008, 41.886935)
"349",1356,"435 South","Congress Plaza Dr","09/26/2006",7500,"North Bound: 6400 / South Bound: 1100","(41.876222, -87.623366)",c(-87.623366, 41.876222)
"350",331,"520 East","Morgan Dr","03/28/2006",28200,"East Bound: 14400 / West Bound: 13800","(41.793546, -87.612405)",c(-87.612405, 41.793546)
"351",288,"1623 South","Blue Island Ave","03/30/2006",5200,"North Bound: 2100 / South Bound: 3100","(41.859146, -87.660062)",c(-87.660062, 41.859146)
"352",1212,"3837 West","Lake St","10/19/2006",13100,"East Bound: 5700 / West Bound: 7400","(41.88529, -87.722446)",c(-87.722446, 41.88529)
"353",930,"4632 West","Diversey Ave","08/10/2006",23000,"East Bound: 11700 / West Bound: 11300","(41.931576, -87.743265)",c(-87.743265, 41.931576)
"354",381,"5250 South","Lake Shore Dr","04/05/2006",111600,"North Bound: 52400 / South Bound: 59200","(41.799972, -87.581471)",c(-87.581471, 41.799972)
"355",1266,"5454 South","Lake Park Ave","09/20/2006",21600,"North Bound: 10500 / South Bound: 11100","(41.796495, -87.587413)",c(-87.587413, 41.796495)
"356",34,"7509 South","Damen Ave","03/02/2006",12300,"North Bound: 5600 / South Bound: 6700","(41.757363, -87.673336)",c(-87.673336, 41.757363)
"357",47,"1407 South","Indiana Ave","05/02/2006",8300,"North Bound: 4900 / South Bound: 3400","(41.863938, -87.622471)",c(-87.622471, 41.863938)
"358",1314,"1500 West","95th St","08/24/2006",34300,"East Bound: 16200 / West Bound: 18100","(41.721244, -87.660284)",c(-87.660284, 41.721244)
"359",643,"2827 North","Pulaski Rd","11/20/2006",23900,"North Bound: 11400 / South Bound: 12500","(41.932562, -87.727001)",c(-87.727001, 41.932562)
"360",183,"540 West","79th Street","03/28/2006",19200,"East Bound: 10500 / West Bound: 8700","(41.750722, -87.638461)",c(-87.638461, 41.750722)
"361",882,"7102 West","Grand Ave","11/15/2006",19200,"East Bound: 8900 / West Bound: 10300","(41.923538, -87.802753)",c(-87.802753, 41.923538)
"362",604,"5411 South","Damen Ave","10/11/2006",14000,"North Bound: 7900 / South Bound: 6100","(41.795427, -87.674346)",c(-87.674346, 41.795427)
"363",425,"1050 West","Hollywood Ave","06/19/2007",35200,"East Bound: 18200 / West Bound: 17000","(41.985494, -87.657453)",c(-87.657453, 41.985494)
"364",326,"271 East","Balbo Dr","04/26/2006",12400,"East Bound: 4500 / West Bound: 7900","(41.873213, -87.620591)",c(-87.620591, 41.873213)
"365",86,"7539 South","State St","03/28/2006",12500,"North Bound: 12500 / / Oneway North Bound","(41.757046, -87.624736)",c(-87.624736, 41.757046)
"366",460,"19 West","Jackson Blvd","09/28/2006",10100,"East Bound: 10100 / / Oneway East Bound","(41.878174, -87.628405)",c(-87.628405, 41.878174)
"367",216,"537 West","103rd Street","03/28/2006",18700,"East Bound: 11000 / West Bound: 7700","(41.706991, -87.63698)",c(-87.63698, 41.706991)
"368",441,"3534 West","Wrightwood Ave","10/16/2006",10600,"East Bound: 4900 / West Bound: 5700","(41.928267, -87.716068)",c(-87.716068, 41.928267)
"369",744,"163 North","Dearborn St","09/26/2006",14100,"North Bound: 14100 / / Oneway North Bound","(41.884893, -87.629469)",c(-87.629469, 41.884893)
"370",675,"4472 North","Clarendon St","10/04/2006",4700,"North Bound: 2500 / South Bound: 2200","(41.963669, -87.649966)",c(-87.649966, 41.963669)
"371",465,"27 West","Washington St","09/26/2006",14300,"East Bound: 14300 / / Oneway East Bound","(41.883215, -87.628926)",c(-87.628926, 41.883215)
"372",304,"840 East","Marquette Rd","04/27/2006",14200,"East Bound: 7400 / West Bound: 6800","(41.774978, -87.6042)",c(-87.6042, 41.774978)
"373",850,"3521 North","Austin Ave","10/25/2006",21700,"North Bound: 10600 / South Bound: 11100","(41.944582, -87.776451)",c(-87.776451, 41.944582)
"374",26,"2259 South","Damen Ave","03/02/2006",14800,"North Bound: 8000 / South Bound: 6800","(41.850395, -87.67579)",c(-87.67579, 41.850395)
"375",159,"9927 South","Longwood Dr","03/21/2006",5300,"North Bound: 2700 / South Bound: 2600","(41.713044, -87.668914)",c(-87.668914, 41.713044)
"376",188,"1715 West","83rd Street","03/23/2006",12100,"East Bound: 6100 / West Bound: 6000","(41.74303, -87.666333)",c(-87.666333, 41.74303)
"377",877,"6916 West","Forest Preserve Ave","08/23/2006",23900,"East Bound: 12300 / West Bound: 11600","(41.957636, -87.799463)",c(-87.799463, 41.957636)
"378",786,"715 South","Kedzie Ave","10/10/2006",16300,"North Bound: 8800 / South Bound: 7500","(41.872254, -87.705864)",c(-87.705864, 41.872254)
"379",41,"7718 South","Dr Martin Luther King Jr Dr","02/28/2006",16700,"North Bound: 7900 / South Bound: 8800","(41.754187, -87.615027)",c(-87.615027, 41.754187)
"380",1338,"410 West","Madison St","10/03/2006",17100,"West Bound: 17100/ Oneway West Bound","(41.881895, -87.638745)",c(-87.638745, 41.881895)
"381",110,"996 South","Clark St","03/22/2006",22600,"North Bound: 12500 / South Bound: 10100","(41.869893, -87.630511)",c(-87.630511, 41.869893)
"382",986,"2136 North","Lincoln Ave","08/29/2006",14400,"North Bound: 7200 / South Bound: 7200","(41.920951, -87.642481)",c(-87.642481, 41.920951)
"383",505,"2324 West","Warren Blvd","11/15/2006",6500,"East Bound: 6500 / / Oneway East Bound","(41.882102, -87.685013)",c(-87.685013, 41.882102)
"384",254,"2017 West","35th St","03/29/2006",15200,"East Bound: 7800 / West Bound: 7400","(41.830382, -87.67602)",c(-87.67602, 41.830382)
"385",915,"3636 West","Armitage Ave","08/09/2006",18000,"East Bound: 8900 / West Bound: 9100","(41.917263, -87.71828)",c(-87.71828, 41.917263)
"386",609,"3030 South","Kostner Ave","09/12/2006",9600,"North Bound: 4400 / South Bound: 5200","(41.837654, -87.734096)",c(-87.734096, 41.837654)
"387",523,"5025 West","Armitage Ave","08/10/2006",9700,"East Bound: 4200 / West Bound: 5500","(41.916857, -87.752046)",c(-87.752046, 41.916857)
"388",1112,"1026 West","Jackson Blvd","09/19/2006",8600,"West Bound: 8600/ Oneway West Bound","(41.877853, -87.652996)",c(-87.652996, 41.877853)
"389",280,"2635 West","59th Street","03/28/2006",13400,"East Bound: 6600 / West Bound: 6800","(41.786465, -87.690066)",c(-87.690066, 41.786465)
"390",221,"2230 West","Garfield Blvd","03/15/2006",28800,"East Bound: 14300 / West Bound: 14500","(41.793839, -87.681286)",c(-87.681286, 41.793839)
"391",393,"12054 South","Wentworth Ave","08/29/2006",3100,"North Bound: 1400 / South Bound: 1700","(41.674552, -87.627366)",c(-87.627366, 41.674552)
"392",81,"1420 South","State St","05/02/2006",23100,"North Bound: 13500 / South Bound: 9600","(41.863436, -87.62733)",c(-87.62733, 41.863436)
"393",670,"4055 North","Cicero Ave","08/09/2006",31500,"North Bound: 15800 / South Bound: 15700","(41.955093, -87.747349)",c(-87.747349, 41.955093)
"394",947,"2932 West","North Ave","10/17/2006",33900,"East Bound: 16800 / West Bound: 17100","(41.910184, -87.700364)",c(-87.700364, 41.910184)
"395",920,"4621 West","Belmont Ave","10/16/2006",25300,"East Bound: 12500 / West Bound: 12800","(41.938878, -87.743194)",c(-87.743194, 41.938878)
"396",471,"3900 West","79th St","08/15/2006",32000,"East Bound: 15900 / West Bound: 16100","(41.749569, -87.721913)",c(-87.721913, 41.749569)
"397",115,"1302 South","Halsted St","03/21/2006",13400,"North Bound: 5900 / South Bound: 7500","(41.865313, -87.646862)",c(-87.646862, 41.865313)
"398",361,"7409 South","Parnell Ave","10/04/2006",1200,"South Bound: 1200/ Oneway South Bound","(41.759562, -87.638479)",c(-87.638479, 41.759562)
"399",1274,"6613 North","Caldwell Ave","08/08/2006",19900,"North Bound: 9800 / South Bound: 10100","(42.000958, -87.774562)",c(-87.774562, 42.000958)
"400",714,"1230 North","Clybourn Ave","10/23/2006",15000,"North Bound: 7800 / South Bound: 7200","(41.904483, -87.640587)",c(-87.640587, 41.904483)
"401",626,"1640 North","Pulaski Rd","11/01/2006",19300,"North Bound: 10700 / South Bound: 8600","(41.911129, -87.72637)",c(-87.72637, 41.911129)
"402",561,"4040 West","Ogden St","11/15/2006",20500,"East Bound: 10200 / West Bound: 10300","(41.850584, -87.726087)",c(-87.726087, 41.850584)
"403",894,"3400 North","Laramie Ave","10/23/2006",15900,"North Bound: 8200 / South Bound: 7700","(41.942383, -87.756806)",c(-87.756806, 41.942383)
"404",957,"612 West","Armitage Ave","11/16/2006",13800,"East Bound: 7700 / West Bound: 6100","(41.918245, -87.644208)",c(-87.644208, 41.918245)
"405",1251,"505 East","Pershing Rd","10/11/2006",12400,"East Bound: 6000 / West Bound: 6400","(41.82387, -87.614241)",c(-87.614241, 41.82387)
"406",499,"1880 West","Adams St","10/05/2006",3500,"West Bound: 3500/ Oneway West Bound","(41.87878, -87.674129)",c(-87.674129, 41.87878)
"407",532,"537 South","Dearborn St","09/19/2006",11500,"North Bound: 11500 / / Oneway North Bound","(41.874957, -87.629219)",c(-87.629219, 41.874957)
"408",1307,"1242 West","103rd St","08/24/2006",16900,"East Bound: 8300 / West Bound: 8600","(41.706811, -87.654128)",c(-87.654128, 41.706811)
"409",1166,"2550 West","31st St","10/11/2006",14900,"East Bound: 7000 / West Bound: 7900","(41.838156, -87.689438)",c(-87.689438, 41.838156)
"410",1107,"6135 South","Indiana Ave","10/11/2006",4200,"North Bound: 4200 / / Oneway North Bound","(41.782759, -87.620541)",c(-87.620541, 41.782759)
"411",816,"3254 West","115th St","08/22/2006",15500,"East Bound: 8100 / West Bound: 7400","(41.684228, -87.702778)",c(-87.702778, 41.684228)
"412",731,"1234 West","Randolph St","10/05/2006",6000,"West Bound: 6000/ Oneway West Bound","(41.88422, -87.658216)",c(-87.658216, 41.88422)
"413",1292,"646 West","103rd St","09/06/2006",21000,"East Bound: 10900 / West Bound: 10100","(41.706956, -87.639881)",c(-87.639881, 41.706956)
"414",594,"7829 South","Damen Ave","10/11/2006",23700,"North Bound: 9800 / South Bound: 13900","(41.751171, -87.673157)",c(-87.673157, 41.751171)
"415",1217,"230 East","Ontario St","10/31/2006",13400,"West Bound: 13400/ Oneway West Bound","(41.893383, -87.621457)",c(-87.621457, 41.893383)
"416",764,"1659 South","Homan Ave","09/14/2006",5100,"North Bound: 3200 / South Bound: 1900","(41.857335, -87.710287)",c(-87.710287, 41.857335)
"417",494,"3947 West","Jackson Blvd","10/18/2006",13300,"East Bound: 6600 / West Bound: 6700","(41.877093, -87.725018)",c(-87.725018, 41.877093)
"418",910,"7252 West","Touhy Ave","08/15/2006",25200,"East Bound: 13300 / West Bound: 11900","(42.011663, -87.808726)",c(-87.808726, 42.011663)
"419",355,"1161 South","Columbus Dr","09/21/2006",37800,"North Bound: 19600 / South Bound: 18200","(41.867512, -87.620401)",c(-87.620401, 41.867512)
"420",1047,"344 West","63rd St","09/20/2006",10800,"East Bound: 5100 / West Bound: 5700","(41.779917, -87.634498)",c(-87.634498, 41.779917)
"421",1089,"420 West","Division St","09/21/2006",32700,"East Bound: 16500 / West Bound: 16200","(41.903778, -87.639261)",c(-87.639261, 41.903778)
"422",314,"412 West","Roosevelt Rd","04/25/2006",41300,"East Bound: 19200 / West Bound: 22100","(41.867266, -87.638052)",c(-87.638052, 41.867266)
"423",248,"1139 West","31st St","03/30/2006",8200,"East Bound: 4100 / West Bound: 4100","(41.837927, -87.655)",c(-87.655, 41.837927)
"424",1195,"4101 West","79th St","08/15/2006",36900,"East Bound: 18400 / West Bound: 18500","(41.749395, -87.724323)",c(-87.724323, 41.749395)
"425",558,"3313 West","Lawrence Ave","08/16/2006",21000,"East Bound: 9700 / West Bound: 11300","(41.968422, -87.711419)",c(-87.711419, 41.968422)
"426",801,"890 West","Lawrence Ave","10/31/2006",14500,"East Bound: 7700 / West Bound: 6800","(41.96912, -87.652496)",c(-87.652496, 41.96912)
"427",621,"190 South","Laramie Ave","10/23/2006",21100,"North Bound: 11400 / South Bound: 9700","(41.878472, -87.754997)",c(-87.754997, 41.878472)
"428",748,"156 North","Jefferson St","10/02/2006",8300,"North Bound: 8300 / / Oneway North Bound","(41.8848, -87.642746)",c(-87.642746, 41.8848)
"429",1177,"3425 South","Kedzie Ave","08/10/2006",32800,"North Bound: 15300 / South Bound: 17500","(41.831089, -87.704652)",c(-87.704652, 41.831089)
"430",1334,"291 North","Franklin St","10/02/2006",12600,"North Bound: 12600 / / Oneway North Bound","(41.886855, -87.635441)",c(-87.635441, 41.886855)
"431",942,"2230 North","Kostner Ave","09/06/2006",12500,"North Bound: 6600 / South Bound: 5900","(41.921651, -87.736467)",c(-87.736467, 41.921651)
"432",1232,"5323 South","Ashland Ave","11/15/2006",35500,"North Bound: 17900 / South Bound: 17600","(41.796974, -87.664663)",c(-87.664663, 41.796974)
"433",1371,"3229 South","Ashland Ave","08/24/2006",40900,"North Bound: 22100 / South Bound: 18800","(41.834721, -87.665668)",c(-87.665668, 41.834721)
"434",1360,"180 East","Lake St","11/07/2006",4600,"East Bound: 4600 / / Oneway East Bound","(41.885784, -87.622306)",c(-87.622306, 41.885784)
"435",347,"9943 South","Beverly Ave","03/28/2006",11900,"North Bound: 5700 / South Bound: 6200","(41.712817, -87.659031)",c(-87.659031, 41.712817)
"436",697,"200 South","Michigan Ave","09/26/2006",39000,"North Bound: 22400 / South Bound: 16600","(41.879529, -87.624351)",c(-87.624351, 41.879529)
"437",1019,"350 South","Western Ave","10/24/2006",33900,"North Bound: 17400 / South Bound: 16500","(41.876083, -87.686271)",c(-87.686271, 41.876083)
"438",1094,"242 East","Grand Ave","11/15/2006",16400,"West Bound: 16400/ Oneway West Bound","(41.891791, -87.62091)",c(-87.62091, 41.891791)
"439",178,"1716 East","76th St","03/28/2006",8600,"East Bound: 4300 / West Bound: 4300","(41.756982, -87.582699)",c(-87.582699, 41.756982)
"440",660,"3260 North","Western Ave (over pass)","10/24/2006",32100,"North Bound: 15700 / South Bound: 16400","(41.940366, -87.688076)",c(-87.688076, 41.940366)
"441",1210,"4740 South","Kedzie Ave","08/22/2006",34700,"North Bound: 17400 / South Bound: 17300","(41.80691, -87.703942)",c(-87.703942, 41.80691)
"442",1148,"1635 South","State St","10/17/2006",22400,"North Bound: 12700 / South Bound: 9700","(41.859198, -87.627233)",c(-87.627233, 41.859198)
"443",1200,"4401 South","Archer Ave","08/10/2006",30500,"North Bound: 14200 / South Bound: 16300","(41.813362, -87.705427)",c(-87.705427, 41.813362)
"444",1327,"350 North","Michigan Lower Ave","09/21/2006",18200,"North Bound: 11500 / South Bound: 6700","(41.888071, -87.624601)",c(-87.624601, 41.888071)
"445",780,"6719 North","Ashland Ave","08/25/2006",4800,"North Bound: 2700 / South Bound: 2100","(42.004104, -87.670556)",c(-87.670556, 42.004104)
"446",1053,"2224 South","Archer Ave","10/19/2006",15300,"North Bound: 8100 / South Bound: 7200","(41.852403, -87.635761)",c(-87.635761, 41.852403)
"447",437,"5400 West","Fullerton Ave","08/17/2006",37900,"East Bound: 21300 / West Bound: 16600","(41.924043, -87.761108)",c(-87.761108, 41.924043)
"448",13,"9730 South","Commercial Ave","03/07/2006",9000,"North Bound: 4000 / South Bound: 5000","(41.718183, -87.551016)",c(-87.551016, 41.718183)
"449",1185,"1837 South","Western Ave","08/22/2006",41500,"North Bound: 22400 / South Bound: 19100","(41.856527, -87.685756)",c(-87.685756, 41.856527)
"450",211,"206 East","95th Street","03/28/2006",30400,"East Bound: 16400 / West Bound: 14000","(41.721813, -87.618662)",c(-87.618662, 41.721813)
"451",1082,"1508 North","Damen Ave","08/16/2006",16300,"North Bound: 8300 / South Bound: 8000","(41.908546, -87.677409)",c(-87.677409, 41.908546)
"452",421,"13101 South","Brainard Ave","11/08/2006",16200,"North Bound: 8000 / South Bound: 8200","(41.65732, -87.557177)",c(-87.557177, 41.65732)
"453",67,"5424 South","Lake Park Ave","03/08/2006",18200,"North Bound: 8900 / South Bound: 9300","(41.797367, -87.587322)",c(-87.587322, 41.797367)
"454",1227,"1828 West","79th St","10/04/2006",23700,"East Bound: 12700 / West Bound: 11000","(41.750277, -87.669454)",c(-87.669454, 41.750277)
"455",388,"11750 South","State St","08/31/2006",7800,"North Bound: 4100 / South Bound: 3700","(41.680056, -87.622723)",c(-87.622723, 41.680056)
"456",192,"1240 East","83rd Street","03/23/2006",15600,"East Bound: 7800 / West Bound: 7800","(41.744106, -87.593706)",c(-87.593706, 41.744106)
"457",638,"2851 North","Southport Ave","10/16/2006",8600,"North Bound: 4400 / South Bound: 4200","(41.934004, -87.663612)",c(-87.663612, 41.934004)
"458",163,"2237 West","63rd Street","03/28/2006",18000,"East Bound: 8700 / West Bound: 9300","(41.779224, -87.680473)",c(-87.680473, 41.779224)
"459",937,"3842 West","Irving Park Rd","08/02/2006",46500,"East Bound: 23600 / West Bound: 22900","(41.953695, -87.724462)",c(-87.724462, 41.953695)
"460",655,"3647 North","Cicero Ave","10/11/2006",38500,"North Bound: 20700 / South Bound: 17800","(41.947548, -87.747128)",c(-87.747128, 41.947548)
"461",845,"2950 West","83rd St","08/17/2006",12200,"East Bound: 4700 / West Bound: 7500","(41.742583, -87.696869)",c(-87.696869, 41.742583)
"462",455,"1650 West","North Ave","10/18/2006",20900,"East Bound: 10400 / West Bound: 10500","(41.910585, -87.669739)",c(-87.669739, 41.910585)
"463",1207,"4464 North","Elston Ave","08/10/2006",17800,"North Bound: 9600 / South Bound: 8200","(41.962199, -87.73154)",c(-87.73154, 41.962199)
"464",538,"210 South","Des Plaines St","10/04/2006",6300,"South Bound: 6300/ Oneway South Bound","(41.878908, -87.644032)",c(-87.644032, 41.878908)
"465",1062,"64 North","Central Park Ave","10/12/2006",12500,"North Bound: 5700 / South Bound: 6800","(41.879533, -87.715851)",c(-87.715851, 41.879533)
"466",925,"2027 North","California Ave","10/09/2006",16100,"North Bound: 8600 / South Bound: 7500","(41.918317, -87.697223)",c(-87.697223, 41.918317)
"467",129,"10748 South","Vincennes Ave","03/21/2006",18000,"North Bound: 8800 / South Bound: 9200","(41.698034, -87.65927)",c(-87.65927, 41.698034)
"468",360,"11043 South","Longwood Dr","08/24/2006",6700,"North Bound: 2500 / South Bound: 4200","(41.693059, -87.671533)",c(-87.671533, 41.693059)
"469",509,"1926 West","Grand Ave","10/23/2006",19600,"East Bound: 9700 / West Bound: 9900","(41.890846, -87.675563)",c(-87.675563, 41.890846)
"470",284,"124 West","59th Street","03/28/2006",8900,"East Bound: 4100 / West Bound: 4800","(41.787305, -87.628708)",c(-87.628708, 41.787305)
"471",952,"3915 West","Roosevelt Rd","10/19/2006",23900,"East Bound: 11200 / West Bound: 12700","(41.866196, -87.723436)",c(-87.723436, 41.866196)
"472",1252,"723 East","43rd St","10/12/2006",7600,"East Bound: 3900 / West Bound: 3700","(41.816788, -87.608238)",c(-87.608238, 41.816788)
"473",1108,"2500 West","Jackson Blvd","10/05/2006",6000,"East Bound: 2700 / West Bound: 3300","(41.877521, -87.688801)",c(-87.688801, 41.877521)
"474",1169,"2444 South","Blue Island Ave","08/17/2006",22100,"East Bound: 10300 / West Bound: 11800","(41.847901, -87.677408)",c(-87.677408, 41.847901)
"475",527,"624 West","Division St","09/21/2006",22100,"East Bound: 11300 / West Bound: 10800","(41.903698, -87.644273)",c(-87.644273, 41.903698)
"476",146,"9348 South","Stony Island Ave","03/09/2006",47900,"North Bound: 24300 / South Bound: 23600","(41.724124, -87.585159)",c(-87.585159, 41.724124)
"477",249,"315 West","31st St","05/04/2006",16100,"East Bound: 8100 / West Bound: 8000","(41.838196, -87.634756)",c(-87.634756, 41.838196)
"478",371,"5121 South","Woodlawn Ave","05/04/2006",8100,"North Bound: 4000 / South Bound: 4100","(41.801676, -87.59669)",c(-87.59669, 41.801676)
"479",1003,"5937 West","Augusta Blvd","10/18/2006",8600,"East Bound: 3800 / West Bound: 4800","(41.898376, -87.773856)",c(-87.773856, 41.898376)
"480",93,"3430 South","Archer Ave","03/08/2006",23400,"North Bound: 11300 / South Bound: 12100","(41.831501, -87.67584)",c(-87.67584, 41.831501)
"481",597,"6224 South","Pulaski Rd","08/15/2006",52300,"North Bound: 27500 / South Bound: 24800","(41.779583, -87.722787)",c(-87.722787, 41.779583)
"482",812,"1345 West","107th St","08/24/2006",7900,"East Bound: 4000 / West Bound: 3900","(41.699481, -87.656564)",c(-87.656564, 41.699481)
"483",1278,"5040 North","Pulaski Rd","10/18/2006",24500,"North Bound: 11900 / South Bound: 12600","(41.973067, -87.728161)",c(-87.728161, 41.973067)
"484",217,"112 West","103rd Street","03/22/2006",18600,"East Bound: 11100 / West Bound: 7500","(41.707125, -87.626548)",c(-87.626548, 41.707125)
"485",577,"909 West","Foster Ave","08/24/2006",20200,"East Bound: 10000 / West Bound: 10200","(41.976427, -87.652889)",c(-87.652889, 41.976427)
"486",718,"11021 South","Ashland Ave","08/24/2006",2000,"North Bound: 2000 / / Oneway North Bound","(41.693283, -87.661875)",c(-87.661875, 41.693283)
"487",970,"2620 North","Clybourn Ave","10/23/2006",17300,"North Bound: 9100 / South Bound: 8200","(41.929133, -87.674504)",c(-87.674504, 41.929133)
"488",736,"641 North","Clark St","09/28/2006",21200,"South Bound: 21200/ Oneway South Bound","(41.89363, -87.631177)",c(-87.631177, 41.89363)
"489",1162,"55 West","Wacker Dr","11/07/2006",29900,"East Bound: 13700 / West Bound: 16200","(41.886817, -87.630054)",c(-87.630054, 41.886817)
"490",515,"3045 West","Division St","10/18/2006",16600,"East Bound: 8100 / West Bound: 8500","(41.902865, -87.703662)",c(-87.703662, 41.902865)
"491",688,"7254 North","Rogers Ave","09/18/2006",7600,"North Bound: 3700 / South Bound: 3900","(42.013319, -87.680974)",c(-87.680974, 42.013319)
"492",565,"5103 West","North Ave","10/18/2006",36500,"East Bound: 18400 / West Bound: 18100","(41.909527, -87.753622)",c(-87.753622, 41.909527)
"493",683,"5237 North","Kedzie Ave","08/24/2006",14700,"North Bound: 7700 / South Bound: 7000","(41.976775, -87.708705)",c(-87.708705, 41.976775)
"494",528,"250 West","127th St","08/29/2006",25700,"East Bound: 12200 / West Bound: 13500","(41.663357, -87.628989)",c(-87.628989, 41.663357)
"495",1311,"2958 West","115th St","08/22/2006",12600,"East Bound: 6700 / West Bound: 5900","(41.684346, -87.695367)",c(-87.695367, 41.684346)
"496",1093,"1475 West","Grand Ave","10/23/2006",19700,"East Bound: 10500 / West Bound: 9200","(41.891001, -87.66523)",c(-87.66523, 41.891001)
"497",1304,"10040 South","Michigan Ave","09/06/2006",11400,"North Bound: 6600 / South Bound: 4800","(41.711481, -87.619985)",c(-87.619985, 41.711481)
